#,id,name,lon,lat,address,province,city,district,type
53,B001C8P5DI,文化公园,104.043118,30.660523,琴台路73号(青羊宫地铁站C口旁),四川省,成都市,青羊区,广场
54,B001C7X8QA,人民公园,104.057641,30.65699,小南街8号(人民公园地铁站B口步行250米),四川省,成都市,青羊区,景区
55,B0FFINIK6K,金沙滨河公园,104.003256,30.686223,金泽路200号,四川省,成都市,青羊区,广场
56,B001C7V2Y4,海斯凯体育公园,103.995179,30.656215,东坡南一路1号,四川省,成都市,青羊区,广场
57,B001C7UM1C,浣花溪公园,104.029022,30.657467,草堂街道青华路9号(近杜甫草堂),四川省,成都市,青羊区,广场
58,B0FFIVK4JO,成都青羊绿舟文化产业园区,103.927105,30.672862,光华大道二段与光耀三路交叉口西北40米,四川省,成都市,青羊区,公园
59,B001C05OX0,百花潭公园,104.043653,30.656117,芳邻路5号,四川省,成都市,青羊区,广场
60,B001C04CFE,青羊宫,104.042609,30.661542,一环路西二段9号(青羊宫地铁站C口向后步行90米),四川省,成都市,青羊区,景区
61,BV09052567,清水河公园(公交站),103.986134,30.662849,(停运)清水河公园(农家乐)地铁7号线假日专线;125路;125路快线(三环快线);137路;137路快线;170路;243路;262路;社区巴士1086路,四川省,成都市,青羊区,公园
62,B0FFLG5EKB,万花公园,103.971158,30.678231,万花一路和万花路交汇处,四川省,成都市,青羊区,广场
63,B0H0L5IFZ3,公元·西停车场,104.004135,30.682633,金沙遗址路68号公元·西,四川省,成都市,青羊区,公园
64,B0G3UY0GN0,东安湖公园,104.244966,30.589811,龙泉街道都市汽车城大道四段辅路,四川省,成都市,龙泉驿区,广场
65,B0FFINNKVC,龙泉山城市森林公园,104.378946,30.591528,茶店街道,四川省,成都市,龙泉驿区,广场
66,B0I6CHKW80,天鹅公园停车点,104.186348,30.583941,天鹅西湖南路辅路天鹅公园,四川省,成都市,龙泉驿区,公园
67,B0FFFEINK7,洛水湿地公园,104.319572,30.637771,三峨街,四川省,成都市,龙泉驿区,广场
68,B0FFJ4LLB0,驿马河公园,104.267895,30.57253,红岭路377号,四川省,成都市,龙泉驿区,广场
69,B0FFK5OH4P,玉石湿地公园,104.195369,30.607139,大面街道玉石社区5-136,四川省,成都市,龙泉驿区,广场
70,B0FFG9I9IK,青龙湖湿地公园,104.183631,30.646345,十陵风景区内,四川省,成都市,龙泉驿区,广场
71,B001C8P5T0,洛带古镇,104.328377,30.636189,三峨街,四川省,成都市,龙泉驿区,景区
